game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score
59173,2023,REG,1,2023-09-07,DET,21,KC,20
59174,2023,REG,1,2023-09-10,CAR,10,ATL,24
59175,2023,REG,1,2023-09-10,HOU,9,BAL,25
59176,2023,REG,1,2023-09-10,CIN,3,CLE,24
59177,2023,REG,1,2023-09-10,JAX,31,IND,21
59178,2023,REG,1,2023-09-10,TB,20,MIN,17
59179,2023,REG,1,2023-09-10,TEN,15,NO,16
59180,2023,REG,1,2023-09-10,SF,30,PIT,7
59181,2023,REG,1,2023-09-10,ARI,16,WAS,20
59182,2023,REG,1,2023-09-10,GB,38,CHI,20
59183,2023,REG,1,2023-09-10,LV,17,DEN,16
59184,2023,REG,1,2023-09-10,MIA,36,LAC,34
59185,2023,REG,1,2023-09-10,PHI,25,NE,20
59186,2023,REG,1,2023-09-10,LA,30,SEA,13
59187,2023,REG,1,2023-09-10,DAL,40,NYG,0
59188,2023,REG,1,2023-09-11,BUF,16,NYJ,22
59189,2023,REG,2,2023-09-14,MIN,28,PHI,34
59190,2023,REG,2,2023-09-17,GB,24,ATL,25
59191,2023,REG,2,2023-09-17,LV,10,BUF,38
59192,2023,REG,2,2023-09-17,BAL,27,CIN,24
59193,2023,REG,2,2023-09-17,SEA,37,DET,31
59194,2023,REG,2,2023-09-17,IND,31,HOU,20
59195,2023,REG,2,2023-09-17,KC,17,JAX,9
59196,2023,REG,2,2023-09-17,CHI,17,TB,27
59197,2023,REG,2,2023-09-17,LAC,24,TEN,27
59198,2023,REG,2,2023-09-17,NYG,31,ARI,28
59199,2023,REG,2,2023-09-17,SF,30,LA,23
59200,2023,REG,2,2023-09-17,NYJ,10,DAL,30
59201,2023,REG,2,2023-09-17,WAS,35,DEN,33
59202,2023,REG,2,2023-09-17,MIA,24,NE,17
59203,2023,REG,2,2023-09-18,NO,20,CAR,17
59204,2023,REG,2,2023-09-18,CLE,22,PIT,26
59205,2023,REG,3,2023-09-21,NYG,12,SF,30
59206,2023,REG,3,2023-09-24,IND,22,BAL,19
59207,2023,REG,3,2023-09-24,TEN,3,CLE,27
59208,2023,REG,3,2023-09-24,ATL,6,DET,20
59209,2023,REG,3,2023-09-24,NO,17,GB,18
59210,2023,REG,3,2023-09-24,HOU,37,JAX,17
59211,2023,REG,3,2023-09-24,DEN,20,MIA,70
59212,2023,REG,3,2023-09-24,LAC,28,MIN,24
59213,2023,REG,3,2023-09-24,NE,15,NYJ,10
59214,2023,REG,3,2023-09-24,BUF,37,WAS,3
59215,2023,REG,3,2023-09-24,CAR,27,SEA,37
59216,2023,REG,3,2023-09-24,DAL,16,ARI,28
59217,2023,REG,3,2023-09-24,CHI,10,KC,41
59218,2023,REG,3,2023-09-24,PIT,23,LV,18
59219,2023,REG,3,2023-09-25,PHI,25,TB,11
59220,2023,REG,3,2023-09-25,LA,16,CIN,19
59221,2023,REG,4,2023-09-28,DET,34,GB,20
59222,2023,REG,4,2023-10-01,ATL,7,JAX,23
59223,2023,REG,4,2023-10-01,MIA,20,BUF,48
59224,2023,REG,4,2023-10-01,MIN,21,CAR,13
59225,2023,REG,4,2023-10-01,DEN,31,CHI,28
59226,2023,REG,4,2023-10-01,BAL,28,CLE,3
59227,2023,REG,4,2023-10-01,PIT,6,HOU,30
59228,2023,REG,4,2023-10-01,LA,29,IND,23
59229,2023,REG,4,2023-10-01,TB,26,NO,9
59230,2023,REG,4,2023-10-01,WAS,31,PHI,34
59231,2023,REG,4,2023-10-01,CIN,3,TEN,27
59232,2023,REG,4,2023-10-01,LV,17,LAC,24
59233,2023,REG,4,2023-10-01,NE,3,DAL,38
59234,2023,REG,4,2023-10-01,ARI,16,SF,35
59235,2023,REG,4,2023-10-01,KC,23,NYJ,20
59236,2023,REG,4,2023-10-02,SEA,24,NYG,3
59237,2023,REG,5,2023-10-05,CHI,40,WAS,20
59238,2023,REG,5,2023-10-08,JAX,25,BUF,20
59239,2023,REG,5,2023-10-08,HOU,19,ATL,21
59240,2023,REG,5,2023-10-08,CAR,24,DET,42
59241,2023,REG,5,2023-10-08,TEN,16,IND,23
59242,2023,REG,5,2023-10-08,NYG,16,MIA,31
59243,2023,REG,5,2023-10-08,NO,34,NE,0
59244,2023,REG,5,2023-10-08,BAL,10,PIT,17
59245,2023,REG,5,2023-10-08,CIN,34,ARI,20
59246,2023,REG,5,2023-10-08,PHI,23,LA,14
59247,2023,REG,5,2023-10-08,NYJ,31,DEN,21
59248,2023,REG,5,2023-10-08,KC,27,MIN,20
59249,2023,REG,5,2023-10-08,DAL,10,SF,42
59250,2023,REG,5,2023-10-09,GB,13,LV,17
59251,2023,REG,6,2023-10-12,DEN,8,KC,19
59252,2023,REG,6,2023-10-15,BAL,24,TEN,16
59253,2023,REG,6,2023-10-15,WAS,24,ATL,16
59254,2023,REG,6,2023-10-15,MIN,19,CHI,13
59255,2023,REG,6,2023-10-15,SEA,13,CIN,17
59256,2023,REG,6,2023-10-15,SF,17,CLE,19
59257,2023,REG,6,2023-10-15,NO,13,HOU,20
59258,2023,REG,6,2023-10-15,IND,20,JAX,37
59259,2023,REG,6,2023-10-15,CAR,21,MIA,42
59261,2023,REG,6,2023-10-15,NE,17,LV,21
59262,2023,REG,6,2023-10-15,ARI,9,LA,26
59263,2023,REG,6,2023-10-15,PHI,14,NYJ,20
59260,2023,REG,6,2023-10-15,DET,20,TB,6
59264,2023,REG,6,2023-10-15,NYG,9,BUF,14
59265,2023,REG,6,2023-10-16,DAL,20,LAC,17
59266,2023,REG,7,2023-10-19,JAX,31,NO,24
59267,2023,REG,7,2023-10-22,DET,6,BAL,38
59268,2023,REG,7,2023-10-22,LV,12,CHI,30
59269,2023,REG,7,2023-10-22,CLE,39,IND,38
59270,2023,REG,7,2023-10-22,BUF,25,NE,29
59271,2023,REG,7,2023-10-22,WAS,7,NYG,14
59272,2023,REG,7,2023-10-22,ATL,16,TB,13
59273,2023,REG,7,2023-10-22,PIT,24,LA,17
59274,2023,REG,7,2023-10-22,ARI,10,SEA,20
59275,2023,REG,7,2023-10-22,GB,17,DEN,19
59276,2023,REG,7,2023-10-22,LAC,17,KC,31
59277,2023,REG,7,2023-10-22,MIA,17,PHI,31
59278,2023,REG,7,2023-10-23,SF,17,MIN,22
59279,2023,REG,8,2023-10-26,TB,18,BUF,24
59280,2023,REG,8,2023-10-29,HOU,13,CAR,15
59281,2023,REG,8,2023-10-29,LA,20,DAL,43
59282,2023,REG,8,2023-10-29,MIN,24,GB,10
59283,2023,REG,8,2023-10-29,NO,38,IND,27
59284,2023,REG,8,2023-10-29,NE,17,MIA,31
59285,2023,REG,8,2023-10-29,NYJ,13,NYG,10
59286,2023,REG,8,2023-10-29,JAX,20,PIT,10
59287,2023,REG,8,2023-10-29,ATL,23,TEN,28
59288,2023,REG,8,2023-10-29,PHI,38,WAS,31
59289,2023,REG,8,2023-10-29,CLE,20,SEA,24
59290,2023,REG,8,2023-10-29,BAL,31,ARI,24
59291,2023,REG,8,2023-10-29,KC,9,DEN,24
59292,2023,REG,8,2023-10-29,CIN,31,SF,17
59293,2023,REG,8,2023-10-29,CHI,13,LAC,30
59294,2023,REG,8,2023-10-30,LV,14,DET,26
59295,2023,REG,9,2023-11-02,TEN,16,PIT,20
59296,2023,REG,9,2023-11-05,MIA,14,KC,21
59297,2023,REG,9,2023-11-05,MIN,31,ATL,28
59298,2023,REG,9,2023-11-05,SEA,3,BAL,37
59299,2023,REG,9,2023-11-05,ARI,0,CLE,27
59300,2023,REG,9,2023-11-05,LA,3,GB,20
59301,2023,REG,9,2023-11-05,TB,37,HOU,39
