game_id,season,game_type,week,away_team,home_team
59173,2023,REG,1,DET,KC
59174,2023,REG,1,CAR,ATL
59175,2023,REG,1,HOU,BAL
59176,2023,REG,1,CIN,CLE
59177,2023,REG,1,JAX,IND
59178,2023,REG,1,TB,MIN
59179,2023,REG,1,TEN,NO
59180,2023,REG,1,SF,PIT
59181,2023,REG,1,ARI,WAS
59182,2023,REG,1,GB,CHI
59183,2023,REG,1,LV,DEN
59184,2023,REG,1,MIA,LAC
59185,2023,REG,1,PHI,NE
59186,2023,REG,1,LA,SEA
59187,2023,REG,1,DAL,NYG
59188,2023,REG,1,BUF,NYJ
59189,2023,REG,2,MIN,PHI
59190,2023,REG,2,GB,ATL
59191,2023,REG,2,LV,BUF
59192,2023,REG,2,BAL,CIN
59193,2023,REG,2,SEA,DET
59194,2023,REG,2,IND,HOU
59195,2023,REG,2,KC,JAX
59196,2023,REG,2,CHI,TB
59197,2023,REG,2,LAC,TEN
59198,2023,REG,2,NYG,ARI
59199,2023,REG,2,SF,LA
59200,2023,REG,2,NYJ,DAL
59201,2023,REG,2,WAS,DEN
59202,2023,REG,2,MIA,NE
59203,2023,REG,2,NO,CAR
59204,2023,REG,2,CLE,PIT
59205,2023,REG,3,NYG,SF
59206,2023,REG,3,IND,BAL
59207,2023,REG,3,TEN,CLE
59208,2023,REG,3,ATL,DET
59209,2023,REG,3,NO,GB
59210,2023,REG,3,HOU,JAX
59211,2023,REG,3,DEN,MIA
59212,2023,REG,3,LAC,MIN
59213,2023,REG,3,NE,NYJ
59214,2023,REG,3,BUF,WAS
59215,2023,REG,3,CAR,SEA
59216,2023,REG,3,DAL,ARI
59217,2023,REG,3,CHI,KC
59218,2023,REG,3,PIT,LV
59219,2023,REG,3,PHI,TB
59220,2023,REG,3,LA,CIN
59221,2023,REG,4,DET,GB
59222,2023,REG,4,ATL,JAX
59223,2023,REG,4,MIA,BUF
59224,2023,REG,4,MIN,CAR
59225,2023,REG,4,DEN,CHI
59226,2023,REG,4,BAL,CLE
59227,2023,REG,4,PIT,HOU
