team,team_name,,team_division,team_nick
ARI,Arizona Cardinals,,NFC West,Cardinals
ATL,Atlanta Falcons,,NFC South,Falcons
BAL,Baltimore Ravens,,AFC North,Ravens
BUF,Buffalo Bills,,AFC East,Bills
CAR,Carolina Panthers,,NFC South,Panthers
CHI,Chicago Bears,,NFC North,Bears
CIN,Cincinnati Bengals,,AFC North,Bengals
CLE,Cleveland Browns,,AFC North,Browns
DAL,Dallas Cowboys,,NFC East,Cowboys
DEN,Denver Broncos,,AFC West,Broncos
DET,Detroit Lions,,NFC North,Lions
GB,Green Bay Packers,,NFC North,Packers
HOU,Houston Texans,,AFC South,Texans
IND,Indianapolis Colts,,AFC South,Colts
JAX,Jacksonville Jaguars,,AFC South,Jaguars
KC,Kansas City Chiefs,,AFC West,Chiefs
LA,Los Angeles Rams,,NFC West,Rams
LAC,Los Angeles Chargers,,AFC West,Chargers
LAR,Los Angeles Rams,,NFC West,Rams
LV,Las Vegas Raiders,,AFC West,Raiders
MIA,Miami Dolphins,,AFC East,Dolphins
MIN,Minnesota Vikings,,NFC North,Vikings
NE,New England Patriots,,AFC East,Patriots
NO,New Orleans Saints,,NFC South,Saints
NYG,New York Giants,,NFC East,Giants
NYJ,New York Jets,,AFC East,Jets
OAK,Oakland Raiders,,AFC West,Raiders
PHI,Philadelphia Eagles,,NFC East,Eagles
PIT,Pittsburgh Steelers,,AFC North,Steelers
SD,San Diego Chargers,,AFC West,Chargers
SEA,Seattle Seahawks,,NFC West,Seahawks
SF,San Francisco 49ers,,NFC West,49ers
STL,St. Louis Rams,,NFC West,Rams
TB,Tampa Bay Buccaneers,,NFC South,Buccaneers
TEN,Tennessee Titans,,AFC South,Titans
WAS,Washington Commanders,,NFC East,Commanders
