stadium_id,game_id,gsis
KAN00,2023_01_DET_KC,59173
ATL97,2023_01_CAR_ATL,59174
BAL00,2023_01_HOU_BAL,59175
CLE00,2023_01_CIN_CLE,59176
IND00,2023_01_JAX_IND,59177
MIN01,2023_01_TB_MIN,59178
NOR00,2023_01_TEN_NO,59179
PIT00,2023_01_SF_PIT,59180
WAS00,2023_01_ARI_WAS,59181
CHI98,2023_01_GB_CHI,59182
DEN00,2023_01_LV_DEN,59183
LAX01,2023_01_MIA_LAC,59184
BOS00,2023_01_PHI_NE,59185
SEA00,2023_01_LA_SEA,59186
NYC01,2023_01_DAL_NYG,59187
NYC01,2023_01_BUF_NYJ,59188
PHI00,2023_02_MIN_PHI,59189
ATL97,2023_02_GB_ATL,59190
BUF00,2023_02_LV_BUF,59191
CIN00,2023_02_BAL_CIN,59192
DET00,2023_02_SEA_DET,59193
HOU00,2023_02_IND_HOU,59194
JAX00,2023_02_KC_JAX,59195
TAM00,2023_02_CHI_TB,59196
NAS00,2023_02_LAC_TEN,59197
PHO00,2023_02_NYG_ARI,59198
LAX01,2023_02_SF_LA,59199
DAL00,2023_02_NYJ_DAL,59200
DEN00,2023_02_WAS_DEN,59201
BOS00,2023_02_MIA_NE,59202
CAR00,2023_02_NO_CAR,59203
PIT00,2023_02_CLE_PIT,59204
SFO01,2023_03_NYG_SF,59205
BAL00,2023_03_IND_BAL,59206
CLE00,2023_03_TEN_CLE,59207
DET00,2023_03_ATL_DET,59208
GNB00,2023_03_NO_GB,59209
JAX00,2023_03_HOU_JAX,59210
MIA00,2023_03_DEN_MIA,59211
MIN01,2023_03_LAC_MIN,59212
NYC01,2023_03_NE_NYJ,59213
WAS00,2023_03_BUF_WAS,59214
SEA00,2023_03_CAR_SEA,59215
PHO00,2023_03_DAL_ARI,59216
KAN00,2023_03_CHI_KC,59217
VEG00,2023_03_PIT_LV,59218
TAM00,2023_03_PHI_TB,59219
CIN00,2023_03_LA_CIN,59220
GNB00,2023_04_DET_GB,59221
LON00,2023_04_ATL_JAX,59222
BUF00,2023_04_MIA_BUF,59223
CAR00,2023_04_MIN_CAR,59224
CHI98,2023_04_DEN_CHI,59225
CLE00,2023_04_BAL_CLE,59226
HOU00,2023_04_PIT_HOU,59227
IND00,2023_04_LA_IND,59228
NOR00,2023_04_TB_NO,59229
PHI00,2023_04_WAS_PHI,59230
NAS00,2023_04_CIN_TEN,59231
LAX01,2023_04_LV_LAC,59232
DAL00,2023_04_NE_DAL,59233
SFO01,2023_04_ARI_SF,59234
NYC01,2023_04_KC_NYJ,59235
NYC01,2023_04_SEA_NYG,59236
WAS00,2023_05_CHI_WAS,59237
LON02,2023_05_JAX_BUF,59238
ATL97,2023_05_HOU_ATL,59239
DET00,2023_05_CAR_DET,59240
IND00,2023_05_TEN_IND,59241
MIA00,2023_05_NYG_MIA,59242
BOS00,2023_05_NO_NE,59243
PIT00,2023_05_BAL_PIT,59244
PHO00,2023_05_CIN_ARI,59245
LAX01,2023_05_PHI_LA,59246
DEN00,2023_05_NYJ_DEN,59247
MIN01,2023_05_KC_MIN,59248
SFO01,2023_05_DAL_SF,59249
VEG00,2023_05_GB_LV,59250
KAN00,2023_06_DEN_KC,59251
LON02,2023_06_BAL_TEN,59252
ATL97,2023_06_WAS_ATL,59253
CHI98,2023_06_MIN_CHI,59254
CIN00,2023_06_SEA_CIN,59255
CLE00,2023_06_SF_CLE,59256
HOU00,2023_06_NO_HOU,59257
JAX00,2023_06_IND_JAX,59258
MIA00,2023_06_CAR_MIA,59259
VEG00,2023_06_NE_LV,59261
LAX01,2023_06_ARI_LA,59262
NYC01,2023_06_PHI_NYJ,59263
TAM00,2023_06_DET_TB,59260
BUF00,2023_06_NYG_BUF,59264
LAX01,2023_06_DAL_LAC,59265
NOR00,2023_07_JAX_NO,59266
BAL00,2023_07_DET_BAL,59267
CHI98,2023_07_LV_CHI,59268
IND00,2023_07_CLE_IND,59269
BOS00,2023_07_BUF_NE,59270
NYC01,2023_07_WAS_NYG,59271
TAM00,2023_07_ATL_TB,59272
LAX01,2023_07_PIT_LA,59273
SEA00,2023_07_ARI_SEA,59274
DEN00,2023_07_GB_DEN,59275
KAN00,2023_07_LAC_KC,59276
PHI00,2023_07_MIA_PHI,59277
MIN01,2023_07_SF_MIN,59278
BUF00,2023_08_TB_BUF,59279
CAR00,2023_08_HOU_CAR,59280
DAL00,2023_08_LA_DAL,59281
GNB00,2023_08_MIN_GB,59282
IND00,2023_08_NO_IND,59283
MIA00,2023_08_NE_MIA,59284
