season,season_type,player_id,player_name,player_display_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2023,POST,00-0026158,J.Flacco,Joe Flacco,QB,QB,34,46,307,1,2,4,39,0,0,314,130,14,-17.75929211,0,0.977707006,0.055458699,3,13,0,0,0,2,1.840030672,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.58,13.58
2023,POST,00-0026498,M.Stafford,Matthew Stafford,QB,QB,25,36,367,2,0,2,10,0,0,335,207,15,18.57605467,0,1.095522388,0.238550964,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,22.68,22.68
2023,POST,00-0027944,J.Jones,Julio Jones,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,22,0,1,0,22,0,1,1.307977638,0,1,0.09375,0.086614173,0.201254921,0,2.2,5.2
2023,POST,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,5,0,0,0,1,0.037399775,0,4,5,64,0,0,0,45,23,4,4.376852583,0,1.422222222,0.074626866,0.076142132,0.165239791,0,6.9,10.9
2023,POST,00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,13,0,0,-0.902222553,0,0,0.023255814,0.045936396,0.067039198,0,0,0
2023,POST,00-0030431,R.Woods,Robert Woods,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,6,17,0,0,0,42,5,1,-3.488318692,0,0.404761905,0.113207547,0.099056604,0.239150943,0,1.7,3.7
2023,POST,00-0030506,T.Kelce,Travis Kelce,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,5,0,0,0,1,0.458317911,0,32,37,355,3,0,0,243,158,19,29.6187794,0,1.46090535,0.278195489,0.267032967,0.60421631,0,54,86
2023,POST,00-0030513,L.Murray,Latavius Murray,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,6,40,0,0,0,4,35,1,-0.606983716,0,10,0.089552239,0.018691589,0.14741247,0,4,9
2023,POST,00-0031235,O.Beckham,Odell Beckham,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,7,34,0,0,0,111,2,2,2.688505842,0,0.306306306,0.127272727,0.222,0.346309091,0,3.4,7.4
2023,POST,00-0031236,B.Cooks,Brandin Cooks,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,6,0,0,0,0,0.256692314,0,6,8,47,0,0,0,93,1,4,-1.054719862,0,0.505376344,0.137931034,0.189409369,0.33948311,0,5.3,11.3
2023,POST,00-0031376,J.McKinnon,Jerick McKinnon,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,15,0,0,0,1,14,1,0.313795945,0,15,0.047619048,0.003861004,0.074131274,0,1.5,3.5
2023,POST,00-0031408,M.Evans,Mike Evans,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,11,19,195,1,0,0,312,35,7,8.836639625,0,0.625,0.256756757,0.485225505,0.724792989,0,25.5,36.5
2023,POST,00-0031428,A.Robinson,Allen Robinson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,12,0,0,0,4,13,1,-1.308388932,0,3,0.078947368,0.014184397,0.128350131,0,1.2,3.2
2023,POST,00-0031544,A.Cooper,Amari Cooper,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,5,59,0,0,0,66,7,4,3.898228419,0,0.893939394,0.11627907,0.233215548,0.337669488,0,5.9,9.9
2023,POST,00-0031549,N.Agholor,Nelson Agholor,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,51,1,0,0,80,23,2,0.539591518,0,0.6375,0.127272727,0.16,0.302909091,0,11.1,14.1
2023,POST,00-0031588,S.Diggs,Stefon Diggs,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,7,0,0,0,1,0.601213019,0,10,17,73,0,1,0,144,57,5,0.325372289,0,0.506944444,0.253731343,0.352941176,0.627655838,0,8,18
2023,POST,00-0031687,R.Mostert,Raheem Mostert,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,8,33,0,0,0,2,-0.366631521,0,1,2,-3,0,0,0,-12,3,0,-2.524189745,0,0.25,0.052631579,-0.042105263,0.049473684,0,3,4
2023,POST,00-0032128,C.Conley,Chris Conley,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,35,0,0,0,34,1,2,3.67936285,0,1.029411765,0.02739726,0.058519793,0.082059746,0,3.5,5.5
2023,POST,00-0032775,D.Robinson,Demarcus Robinson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,44,0,0,0,126,2,3,1.733956185,0,0.349206349,0.176470588,0.396226415,0.542064373,0,4.4,7.4
2023,POST,00-0033040,T.Hill,Tyreek Hill,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,8,62,1,0,0,83,31,1,-2.444334378,0,0.746987952,0.210526316,0.29122807,0.519649123,0,12.2,17.2
2023,POST,00-0033077,D.Prescott,Dak Prescott,QB,QB,41,60,403,3,2,4,16,0,0,522,151,25,-3.369603094,0,0.772030651,0.105469368,6,45,0,0,0,4,4.515466945,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,30.62,30.62
2023,POST,00-0033106,J.Goff,Jared Goff,QB,QB,77,111,837,4,0,7,45,1,0,756,440,50,26.32762084,0,1.107142857,0.134338386,9,3,0,0,0,1,-2.638715154,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,49.78,49.78
2023,POST,00-0033110,T.Higbee,Tyler Higbee,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,10,0,0,-0.470492767,0,0,0.029411765,0.031446541,0.066130226,0,0,0
2023,POST,00-0033280,C.McCaffrey,Christian McCaffrey,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,59,268,4,1,1,15,-2.337357283,0,19,25,152,1,0,0,38,142,5,1.33520437,0,4,0.242718447,0.043930636,0.394829115,0,70,89
2023,POST,00-0033288,G.Kittle,George Kittle,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,13,112,1,0,0,143,56,4,7.629368169,0,0.783216783,0.126213592,0.165317919,0.305042932,0,17.2,25.2
