season,season_type,player_id,player_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2023,REG,00-0023459,A.Rodgers,QB,QB,0,1,0,0,0,1,10,0,0,17,0,0,-2.031959884,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2023,REG,00-0024243,M.Lewis,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,5,29,1,0,0,9,29,2,2.486082623,0,3.222222222,0.036764706,0.008737864,0.061263564,0,8.9,12.9
2023,REG,00-0026158,J.Flacco,QB,QB,123,204,1616,13,8,8,57,3,1,1910,678,60,-1.607587161,1,0.846073298,0.046071185,9,2,0,1,0,3,-0.469945977,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,100.84,100.84
2023,REG,00-0026498,M.Stafford,QB,QB,326,521,3965,24,11,30,205,0,0,4033,1890,187,55.03210788,1,0.983139102,0.080648539,21,65,0,0,0,4,3.965635492,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,243.1,243.1
2023,REG,00-0026625,B.Hoyer,QB,QB,23,42,231,0,2,1,8,0,0,344,80,14,-8.780772753,0,0.671511628,0.018039709,3,-3,0,0,0,0,-1.81534554,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.94,4.94
2023,REG,00-0027114,T.Morstead,P,SPEC,1,1,18,0,0,0,0,0,0,10,8,1,2.670900026,0,1.8,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.72,0.72
2023,REG,00-0027696,J.Graham,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,7,39,4,0,0,42,3,6,8.155974591,0,0.928571429,0.050724638,0.038638454,0.103133875,0,27.9,33.9
2023,REG,00-0027944,J.Jones,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,11,19,74,3,0,0,131,28,4,2.233634454,0,0.564885496,0.080508475,0.069717935,0.169565266,0,25.4,36.4
2023,REG,00-0027948,B.Gabbert,QB,QB,18,35,185,0,3,1,9,0,0,198,118,8,-16.14328711,0,0.934343434,-0.057403966,7,45,0,0,0,2,-0.619769561,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,5.9,5.9
2023,REG,00-0027973,A.Dalton,QB,QB,34,58,361,2,0,3,27,0,0,477,128,17,4.548329591,0,0.756813417,0.064665823,3,12,0,0,0,2,1.428459964,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,23.64,23.64
