season,team,completions,attempts,passing_yards,penalties,timeouts,wins,losses,points_scored,points_against,division_rank
2023,ARI,355,555,3430,101,62,4,13,330,455,4,
2023,ATL,327,530,3775,84,67,7,10,321,373,3
2023,BAL,328,494,3881,102,63,13,4,480,280,1
2023,BUF,385,579,4306,106,73,11,6,451,311,1
2023,CAR,350,586,3245,103,69,2,15,236,416,4
2023,CHI,321,513,3421,99,47,7,10,360,379,4
2023,CIN,420,615,4257,76,69,9,8,366,384,4
2023,CLE,355,624,4011,115,68,11,6,396,362,2
2023,DAL,428,614,4660,115,60,12,5,509,315,1
2023,DEN,337,513,3566,99,79,8,9,357,413,3
2023,DET,408,606,4606,97,44,12,5,461,395,1
2023,GB,374,581,4210,105,77,9,8,383,350,2
2023,HOU,372,592,4578,114,70,10,7,377,353,1
2023,IND,355,574,3882,95,57,9,8,396,415,3
2023,JAX,412,620,4377,83,59,9,8,377,371,2
2023,KC,421,635,4383,96,54,11,6,371,294,1
2023,LAR,361,583,4300,89,80,10,7,404,377,2
2023,LAC,409,632,4312,79,56,5,12,346,398,4
2023,LV,348,557,3666,75,67,8,9,332,331,2
2023,MIA,393,566,4698,97,54,11,6,496,391,2
2023,MIN,424,631,4700,89,76,7,10,344,362,3
2023,NE,351,557,3392,89,60,4,13,236,366,4
2023,NO,406,606,4225,96,62,9,8,402,327,2
2023,NYG,338,518,3351,89,76,6,11,266,407,3
2023,NYJ,356,601,3373,124,74,7,10,268,355,3
2023,PHI,369,563,4067,95,64,11,6,433,428,2
2023,PIT,323,506,3421,86,65,10,7,304,324,3
2023,SEA,371,575,4167,111,66,9,8,364,402,3
2023,SF,336,491,4577,101,56,12,5,491,298,1
2023,TB,364,568,4044,100,42,9,8,348,325,1
2023,TEN,304,494,3512,110,62,6,11,305,367,4
2023,WAS,407,636,4174,87,62,4,13,329,518,4
2024,ARI,374,543,3859,92,52,8,9,400,379,4
2024,ATL,364,559,4283,99,64,8,9,389,423,2
2024,BAL,318,477,4189,132,66,12,5,518,361,1
2024,BUF,329,520,3938,112,68,13,4,525,368,1
2024,CAR,341,547,3411,118,73,5,12,341,534,3
2024,CHI,353,566,3552,110,68,5,12,310,370,4
2024,CIN,460,652,4918,101,83,9,8,472,434,3
2024,CLE,395,661,3879,119,66,3,14,258,435,4
2024,DAL,398,637,4092,128,60,7,10,350,468,3
2024,DEN,379,570,3808,108,79,10,7,425,311,3
2024,DET,399,551,4718,106,42,15,2,564,342,1
2024,GB,308,479,3939,111,80,11,6,460,338,3
2024,HOU,357,570,3952,119,59,10,7,372,372,1
2024,IND,289,513,3599,93,54,8,9,377,427,2
2024,JAX,343,546,3717,99,66,4,13,320,435,3
2024,KC,404,600,4046,94,55,15,2,385,326,1
2024,LAR,367,559,4096,91,67,10,7,367,386,1
2024,LAC,336,510,3901,96,66,11,6,402,301,2
2024,LV,410,635,4117,96,78,4,13,309,434,4
2024,MIA,413,591,4036,114,76,8,9,345,364,2
2024,MIN,364,548,4379,110,62,14,3,432,332,2
2024,NE,342,529,3343,111,72,4,13,289,417,4
2024,NO,340,551,3730,110,74,5,12,338,398,4
2024,NYG,366,591,3521,112,70,3,14,273,415,4
2024,NYJ,385,607,4016,137,66,5,12,338,404,3
2024,PHI,303,448,3517,103,62,14,3,463,303,1
2024,PIT,321,499,3607,102,63,10,7,380,347,2
2024,SEA,413,593,4379,120,67,10,7,375,368,2
2024,SF,349,533,4424,111,65,6,11,389,436,4
2024,TB,408,571,4505,108,47,10,7,502,385,1
2024,TEN,336,530,3621,132,75,3,14,311,460,4
2024,WAS,365,525,3932,111,66,12,5,485,391,2
