season,team,player_id
2023,PHI,00-0017724
2023,SEA,00-0022531
2023,NYJ,00-0023459
2023,ARI,00-0023853
2023,CHI,00-0024243
2023,TEN,00-0025565
2023,NYG,00-0025580
2023,CAR,00-0026027
2023,CLE,00-0026158
2023,NYJ,00-0026166
2023,ATL,00-0026190
2023,NE,00-0026293
2023,BAL,00-0026300
2023,LA,00-0026498
2023,LV,00-0026625
2023,NYG,00-0026858
2023,NYJ,00-0027114
2023,CHI,00-0027187
2023,HOU,00-0027224
2023,TEN,00-0027557
2023,NE,00-0027647
2023,CLE,00-0027648
2023,IND,00-0027674
2023,ARI,00-0027688
2023,NO,00-0027696
2023,NYJ,00-0027723
2023,SF,00-0027857
2023,DET,00-0027862
2023,PHI,00-0027865
2023,MIA,00-0027867
2023,HOU,00-0027872
2023,HOU,00-0027881
2023,BUF,00-0027885
2023,BUF,00-0027940
2023,PIT,00-0027943
2023,PHI,00-0027944
2023,DAL,00-0027947
2023,KC,00-0027948
2023,NO,00-0027962
2023,PIT,00-0027969
2023,CAR,00-0027973
2023,NYJ,00-0028002
2023,MIA,00-0028008
2023,NYG,00-0028063
2023,NYG,00-0028118
2023,PHI,00-0028129
2023,NE,00-0028171
2023,CHI,00-0028284
2023,SEA,00-0028292
2023,DET,00-0028394
2023,LAC,00-0028845
2023,CAR,00-0028872
2023,CLE,00-0028899
2023,CIN,00-0028908
2023,SF,00-0028924
2023,ARI,00-0028946
2023,HOU,00-0028986
2023,NYG,00-0029000
2023,CLE,00-0029008
2023,MIA,00-0029193
2023,LV,00-0029239
2023,MIA,00-0029249
2023,SEA,00-0029255
2023,DEN,00-0029263
2023,BUF,00-0029285
2023,DET,00-0029293
2023,ARI,00-0029316
2023,NYJ,00-0029419
2023,NYG,00-0029421
2023,MIA,00-0029530
2023,DAL,00-0029542
2023,TB,00-0029562
2023,LV,00-0029585
2023,BAL,00-0029592
2023,BAL,00-0029597
2023,MIN,00-0029604
2023,MIN,00-0029606
2023,NO,00-0029607
2023,NYJ,00-0029621
2023,PHI,00-0029653
2023,NE,00-0029672
2023,LV,00-0029685
2023,DAL,00-0029692
2023,TEN,00-0029701
2023,CLE,00-0029709
2023,MIN,00-0029714
2023,NE,00-0029764
2023,JAX,00-0029822
2023,DEN,00-0029890
2023,SF,00-0029892
2023,TB,00-0029895
2023,LA,00-0029959
2023,TEN,00-0029963
2023,CAR,00-0030035
2023,DET,00-0030061
2023,PHI,00-0030062
2023,DAL,00-0030063
2023,MIA,00-0030067
2023,CLE,00-0030068
2023,LV,00-0030070
2023,GB,00-0030074
2023,BUF,00-0030090
2023,BUF,00-0030092
2023,MIN,00-0030097
2023,CLE,00-0030098
2023,BUF,00-0030114
2023,WAS,00-0030140
2023,PIT,00-0030142
2023,LAC,00-0030279
2023,LA,00-0030332
2023,CLE,00-0030383
2023,TB,00-0030386
2023,SF,00-0030411
2023,HOU,00-0030431
2023,NO,00-0030459
2023,BUF,00-0030463
2023,LAC,00-0030500
2023,LV,00-0030505
2023,KC,00-0030506
2023,BUF,00-0030513
2023,JAX,00-0030533
2023,PHI,00-0030561
2023,TEN,00-0030564
2023,SEA,00-0030565
2023,ATL,00-0030578
2023,NYG,00-0030585
2023,KC,00-0030615
2023,MIA,00-0030649
2023,SF,00-0030663
2023,NO,00-0030665
2023,NO,00-0030694
2023,WAS,00-0030725
2023,KC,00-0030757
2023,CAR,00-0030792
2023,JAX,00-0030827
2023,BAL,00-0030829
2023,WAS,00-0030869
2023,ARI,00-0030874
2023,HOU,00-0030946
2023,NYG,00-0030957
2023,ATL,00-0030968
2023,LAC,00-0031019
2023,NE,00-0031039
2023,LAC,00-0031040
2023,BUF,00-0031054
2023,DEN,00-0031067
2023,ATL,00-0031079
2023,WAS,00-0031095
2023,SF,00-0031097
2023,TB,00-0031101
2023,PIT,00-0031136
2023,TB,00-0031142
2023,BAL,00-0031156
2023,BAL,00-0031177
2023,CHI,00-0031203
